↓String-Id  /  Language →,Default,Japanese,French,Spanish,Italian,German,TraditionalChinese,SimplifiedChinese
ARGUMENT_STR,%s,,,,,,,
ARGUMENT_DECIMAL,%d,,,,,,,
GEN_OK,OK,OK,OK,Vale,OK,OK,確定,确定
GEN_CANCEL,Cancel,キャンセル,Annuler,Cancelar,Annulla,Abbrechen,取消,取消
GEN_YES,Yes,,,,,,,
GEN_NO,No,,,,,,,
GEN_LOW,Low,,,,,,,
GEN_LOW_ABBREVIATION,Lo,,,,,,,
GEN_MIDDLE,Mid,,,,,,,
GEN_HIGH,High,,,,,,,
GEN_HIGH_ABBREVIATION,Hi,,,,,,,
GEN_HOUR_ABBREVIATION,h,,,,,,,
GEN_MINUTE_ABBREVIATION,min,,,,,,,
GEN_RESET_QUESTION_MARK,Reset?,,,,,,,
GEN_BLUETOOTH,Bluetooth,,,,,,,
GEN_THREE_HYPHENS,---,,,,,,,
GEN_PLEASE_WAIT,Please wait…,,,,,,,
GEN_SPEED_KM_PER_HOUR,km/h,,,,,,,
GEN_SPEED_MILE_PER_HOUR,mile/h,,,,,,,
GEN_FUEL_UNIT_LITTER,L,,,,,,,
GEN_FUEL_UNIT_GALLON,gal,,,,,,,
TOP01_WARNING,WARNING,警告,AVERTISSEMENT,ATENCIÓN,AVVERTENZA,WARNUNG,警告,警告
TOP01_DISCLAIMER,Failure to pay attention while riding could result in death or serious injury. Always concentrate on riding by keeping your eyes and mind on the road. Read the Owner's Manual.,"運転中に注意を怠ると、死亡または重傷を負う可能性があります。常に交通状況を注視し、運転に集中してください。
取扱説明書をご確認ください。",Toute inattention lors de la conduite peut entraîner la mort ou des blessures graves. Concentrez-vous toujours sur la conduite en gardant vos yeux et votre esprit sur la route. Lisez votre mode d'emploi.,No prestar atención mientras se conduce puede producir heridas graves y la muerte. Concéntrese siempre en la conducción y mantenga la vista siempre en la carretera. Lea su manual de usuario.,Non prestare attenzione mentre si viaggia può causare lesioni gravi o decesso. Rimanete sempre concentrati sulla strada. Leggere il Manuale utente.,Unachtsamkeit während des Fahrens kann zu Verletzungen oder Tod führen. Konzentrieren Sie sich während der Fahrt immer auf die Straße. ,未專心騎乘車輛時，將可能導致重傷或死亡。騎乘中請務必保持專注，並隨時留意周遭之交通狀況。請詳閱車主手冊。,骑行时不注意安全可能会导致死亡或重伤。请随时注意道路状况和周围的环境，专心骑行。请参阅《用户手册》。
TOP01_ACCEPT,ACCEPT,確認,ACCEPTER,ACEPTAR,ACCETTA,Akzeptiert,知悉並同意,接受
BRT01_TFT_DISPLAY,TFT display,,,,,,,
BRT01_SPEED_METER,Speed meter,,,,,,,
BRT02_MAX,Max.,,,,,,,
BRT02_MIN,Min.,,,,,,,
CLK01_AUTO_ADJUSTMENT,Auto Adjustment,,,,,,,
CLK01_MANUAL_ADJUSTMENT,Manual Adjustment,,,,,,,
CLK02_DAY,Day,,,,,,,
CLK02_MONTH,Month,,,,,,,
CLK02_YEAR,Year,,,,,,,
CLK02_AM,AM,,,,,,,
CLK02_PM,PM,,,,,,,
CLK02_HOUR,Hour,,,,,,,
CLK02_MINUTE,Min.,,,,,,,
CLK03_SET_CLOCK,Set Clock?,,,,,,,
GPW01_GRIP_WARMER,Grip Warmer,,,,,,,
HOM11_X1000R_MIN,x1000r/min,,,,,,,
HOM12_AVG,AVG,,,,,,,
HOM12_AVG_fuel,AVG FUEL,,,,,,,
HOM13_SPEED_LIMIT,SPEED LIMIT,,,,,,,
HOM03_AVG_SPEED,AVG SPEED,,,,,,,
HOM03_AVG_FUEL,AVG FUEL,,,,,,,
HOM03_INST_FUEL,INST FUEL,,,,,,,
HOM03_TRIP_TIME,TRIP TIME,,,,,,,
HOM03_RANGE,RANGE,,,,,,,
HOM03_FUEL_CONSUMPTION,FUEL CONS,,,,,,,
HOM03_AIR,AIR,,,,,,,
HOM03_COOLANT,COOLANT,,,,,,,
HOM03_BATTERY,BATTERY,,,,,,,
HOM03_FRONT_R,FRONT (R),,,,,,,
HOM03_FRONT_L,FRONT (L),,,,,,,
HOM03_FRONT,FRONT,,,,,,,
HOM03_REAR,REAR,,,,,,,
HOM03_CRUISE,CRUISE,,,,,,,
INF01_TACHO_VISUALIZER,Tacho visualizer,,,,,,,
INF01_ECHO_VISUALIZER,ECO visualizer,,,,,,,
INF01_SPEED_VISUALIZER,Speed visualizer,,,,,,,
INF26_ODO,ODO,,,,,,,
INF26_TRIP_1,TRIP 1,,,,,,,
INF26_TRIP_2,TRIP 2,,,,,,,
INF26_TRIP_F,TRIP F,,,,,,,
LNC_METER_DISPLAY,Meter display,,,,,,,
LNC_ODO_TRIP,ODO/TRIP,,,,,,,
LNC_MUSIC,Music,,,,,,,
LNC_PHONE,Phone,,,,,,,
LNC_NAVIGATION,Navigation,,,,,,,
LNC_WEATHER,Weather,,,,,,,
LNC_NOTIFICATION,Notification,,,,,,,
LNC_SEAT_HEATER,Seat Heater,,,,,,,
LNC_SETTINGS,Settings,,,,,,,
MED02_DEV_UNAVAILABLE,"Media device
unavailable",,,,,,,
MNT01_OIL,OIL,,,,,,,
MNT01_V_BELT,V-BELT,,,,,,,
MNT01_FREE1,FREE 1,,,,,,,
MNT01_FREE2,FREE 2,,,,,,,
NAV01_CHECK_FIXED,Fixed Camera,,,,,,,
NAV01_CHECK_TEMPORARY,Temporary Camera,,,,,,,
NAV01_MOBILE,Mobile Speed Camera,,,,,,,
NAV01_AVERAGE,Average Speed Camera,,,,,,,
NAV01_VARIABLE,Variable Speed Camera,,,,,,,
NAV01_RED_LIGHT,Red Light Camera,,,,,,,
NAV01_USER,Mobile Camera,,,,,,,
NAV01_MOBILE_ZONE,Mobile Speed Camera,,,,,,,
NAV01_DANGEROUS_ZONE,Danger Zone,,,,,,,
NAV01_RISK_ZONE,Risk Zone,,,,,,,
NAV01_UNKNOWN,Speed Alert,,,,,,,
NAV01_STATE_BORDER,State Border,,,,,,,
NAV01_COUNTRY_BORDER,Country Border,,,,,,,
NAV01_SCHOOL_ZONE,School Zone,,,,,,,
NAV01_NO_DESTINATION,No possible route to this destination.,,,,,,,
NAV06_STOP_NAVIGATION,Stop navigation,,,,,,,
NAV06_SKIP_NEXT_STOP,Skip next stop,,,,,,,
NAV06_GO_HOME,Go home,,,,,,,
NAV06_GO_TO_WORK,Go to work,,,,,,,
NAV06_FAVORITES,Favorites,,,,,,,
NAV06_NEARBY_GAS_STATIONS,Nearby Gas stations,,,,,,,
NAV06_CHANGE_VIEW,Change view,,,,,,,
NAV08_DEFAULT_VIEW,Default view,,,,,,,
NAV08_TURN_BY_TURN,Turn-by-turn,,,,,,,
NAV08_TURN_LIST,Turn list,,,,,,,
OPN02_FACTORY_MODE,Factory mode,,,,,,,
OPN02_ENTER_TWICE,"Press ""ENTER"" button twice.",,,,,,,
POP02_CONNECTION_ERR,Connection Error,,,,,,,
POP02_PLEASE_CHECK,Please Check,,,,,,,
POP02_DETAILS,Details,,,,,,,
POP03_NO_HOME_LOCATION,Home location is not set.,,,,,,,
POP03_NO_OFFICE_LOCATION,Work location is not set.,,,,,,,
POP07_TROUBLE_SHOOTING,Connection troubleshooting,,,,,,,
POP07_UNLOCK_PHONE,Unlock smartphone.,,,,,,,
POP07_TURN_ON_BT,Turn ON smartphone Bluetooth.,,,,,,,
POP07_LAUNCH_APP,Launch the application.,,,,,,,
POP09_CONNECTION_FAILED,"Connection failed.
Check Bluetooth connection settings.
Check smartphone reception.",,,,,,,
POP17_APP_INIT_SETTING_FAILED,"Initial settings incomplete.
Follow the instructions of LC Navi on your phone to complete the initial settings.",,,,,,,
SET01_TRACTION_CONTROL,Traction Control,,,,,,,
SET01_CONNECTION,Connection,,,,,,,
SET01_CLOCK,Clock,,,,,,,
SET01_BRIGHTNESS,Brightness,,,,,,,
SET01_UNIT,Unit,,,,,,,
SET01_GRIP_WARMER_SETTINGS,Grip warmer settings,,,,,,,
SET01_SEAT_HEATER_SETTINGS,Seat heater settings,,,,,,,
SET01_SYSTEM_INFO,System information,,,,,,,
SET01_LEGAL_INFO,Legal information,,,,,,,
SET01_INFO_RESET,Information / Reset,,,,,,,
SET03_Y_CONNECT_APP_PAIRING,Y-connect App pairing,,,,,,,
SET04_DISCOVERY_MODE,Discovery mode,,,,,,,
SET04_PAIRED_DEVICES,Paired devices,,,,,,,
SET04_BT_AUTO_CONNECT,Bluetooth auto connect,,,,,,,
SET05_MAX_DEVICES,"Max number of devices reached.
Do you want to edit paired device list?",,,,,,,
SET06_DISCOVERABLE,"Now discoverable by other
Bluetooth devices.",,,,,,,
SET06_NAME,Name : %s,,,,,,,
SET06_TIME_LEFT,Time left : ,,,,,,,
SET07_PAIRING_FAILED,Bluetooth pairing failed.,,,,,,,
SET08_PAIR_WITH,"Pair with
""%s""?",,,,,,,
SET08_PASSKEY,Passkey:,,,,,,,
SET09_BT_CONNECTED,"""%s""
Bluetooth
connected.",,,,,,,
SET10_CONNECTION_FAILED,"""%s""
Bluetooth
connection failed.",,,,,,,
SET11_NO_LONGER_PAIRED,"""%s"" is no longer paired with the vehicle.
Please pair it again.",,,,,,,
SET18_DELETE_PAIRING_RECORD,"Please delete the pairing record on ""%s"", otherwise, you may not be able to reconnect with LinkCard in the future.",,,,,,,
SET19_DELETE_PAIRING,Delete pairing,,,,,,,
SET19_CONNECT,Connect,,,,,,,
SET19_DISCONNECT,Disconnect,,,,,,,
SET20_COMPLETE_BT_PAIRING_FIRST,You must complete Bluetooth pairing before pairing with the Y-connect app.,,,,,,,
SET21_BLE_ALREADY_CONNECTED,"""%s"" is now connected. To pair another smartphone with the Y-connect app, connect it via Bluetooth first.",,,,,,,
SET22_DEVICE_NAME,"Device name:
",,,,,,,
SET22_WAIT_APP_CONNECTION,"Waiting for app connection.
Check the app for instructions.",,,,,,,
SET23_PAIRING_FAILED,Pairing failed.,,,,,,,
SET24_CHECK_BT_PAIRING_RECORD,Please check the bluetooth pairing record on your previously paired Smartphone. You may need to delete the unused pairing record.,,,,,,,
SET25_PIN,PIN,,,,,,,
SET26_PAIRING_SUCCESSFUL,Pairing successful.,,,,,,,
SET27_UPDATE_SYSTEM,Update system ?,,,,,,,
SET28_ESN,Electronic Serial Number,,,,,,,
SET28_SW_VERSION,Software version,,,,,,,
SET28_UNIT_ID,Unit ID,,,,,,,
SET28_SW_UPDATE,Software update,,,,,,,
SET29_DRIVING_NO_SW_UPDATE,Software update cannot be executed while driving.,,,,,,,
SET35_LICENSE,3rd party licenses,,,,,,,
SET38_RESET_TO_FACTORY,Reset LinkCard to factory settings?,,,,,,,
SET39_DELETE_PAIRING,"Please delete the pairing record on the smartphones.
Otherwise, you may not be able to reconnect with LinkCard in the future.",,,,,,,
SET40_CANNOT_EXECUTE,Cannot execute while driving.,,,,,,,
SET42_RESET_COMPLETE,Reset complete.,,,,,,,
SET43_TRIP_MILEAGE_RESET,Trip mileage reset,,,,,,,
SET43_MAINTENANCE_RESET,Maintenance reset,,,,,,,
SET43_VEHICLE_INFO,Vehicle info.,,,,,,,
SET43_ALL_RESET,All reset,,,,,,,
TCS01_TCS,TCS,,,,,,,
UNT01_UNIT_MILEAGE,Mileage,,,,,,,
UNT01_UNIT_FUEL,Fuel,,,,,,,
UNT01_UNIT_PRESSURE,Pressure,,,,,,,
UNT01_UNIT_TEMPERATURE,Temperature,,,,,,,
UNT02_UNIT_MILEAGE_KILOMETER,km,,,,,,,
UNT02_UNIT_MILEAGE_MILE,mile,,,,,,,
UNT03_UNIT_FUEL_KM_PER_LITER,km/L,,,,,,,
UNT03_UNIT_FUEL_LITER_PER_HUNDRED_KM,L/100km,,,,,,,
UNT03_UNIT_FUEL_MILE_PER_GALLON,MPG,,,,,,,
UNT04_UNIT_PRESSURE_KPA,kPa,,,,,,,
UNT04_UNIT_PRESSURE_PSI,psi,,,,,,,
UNT04_UNIT_PRESSURE_KGF,kgf/cm²,,,,,,,
UNT05_UNIT_TEMPERATURE_C,℃,,,,,,,
UNT05_UNIT_TEMPERATURE_F,℉,,,,,,,
WSC01_WIND_SCREEN,Wind Screen,,,,,,,
YDT01_MESSAGE,"YDT / GST device connection has been detected.
Some functions are limited.",,,,,,,
DEV_TEST_CHINESE,台灣國際航電台湾国际航电，；。（）［］？！＼／０１２３４５６７８９,,,,,,,
DEV_TEST_JAPANESE,"あいうえおかきくけこさしすせそたちつてとなにぬねのはひふへほまみむめもやゆよらりるれろわをん
がぎぐげござじずぜぞばびぶべぼぱぴぷぺぽ
アイウエオカキクケコサシスセソタチツテトナニヌネノハヒフヘホマミムメモヤユヨラリルレロワヲン
ガギグゲゴザジズゼドバビブベボパピプペポ",,,,,,,
DEV_TEST_KOREAN,"다가오는 갈림길에서 어느 도로로 가야할 지 더 이상 추측할 필요가 없습니다. 정션 뷰가 기능은 다가오는 갈림길,출구 또는 교차로의 안내와 검색이 가능합니다 올바른 도로를 안내해 주는 네비게이션 화살표와 함께 경로 상에 실제 도로 표지판과 교차로가 표시됩니다. 정션 뷰 기능은 지정된 대도시에서 이용할 수 있습니다.",,,,,,,
DEV_TEST_LETTERS,"ABCDEFGHIJKLMNOPQRSTUVWXYZ
abcdefghijklmnopqrstuvwxyz
0123456789,;.()[]/\
ÄÖÜß
ÀàÂâÇçÉéÈèÊêËëÌìÍíÎîÏïÔôÛûÙùÜüŸÿÑñŠšŽžÅåÄäÖöćńóśźżąęł
çáéíóúâêôãõàèìòù
ĂÂÊÔƠƯăâđêôơư",,,,,,,
